source,target,tgt_lng
Universitas Duta Bangsa Surakarta,苏拉卡尔塔杜塔邦萨大学,
Asset Management,资产管理,
Fixed Asset,固定资产,
Internal Control,内部控制,
Creative Commons Attribution-ShareAlike 4.0 International,知识共享署名-相同方式共享4.0国际许可协议,
management asset by physique,实物资产管理,
asset lists,资产清单,
internal control system,内部控制体系,
fixed assets,固定资产,
qualitative approach,定性方法,
descriptive method,描述性方法,
observation,观察,
interviews,访谈,
SINAPRA,SINAPRA,
System Infrastructure,系统基础设施,
procurement of fixed assets,固定资产采购,
"3ndInternational Conference of Health, Science and Technology (ICOHETECH)",第三届健康、科学与技术国际会议,
e-ISSN: 2962-634X,e-ISSN: 2962-634X,
LPPM Universitas Duta Bangsa Surakarta,LPPM 杜塔·邦萨大学梭罗校区,
Indonesia,印度尼西亚,
September,九月,
FIXED ASSET MANAGEMENT,固定资产管理,
FIXED ASSETS INTERNAL CONTROL,固定资产内部控制,
INSTITUTIONS OF HIGHER EDUCATION,高等教育机构,
Ety Meikhati,Ety Meikhati,
Rita Wahyuningsih,Rita Wahyuningsih,
Faculty of Law and Business,法律与商业学院,
tridharma,三教,
infrastructure,基础设施,
"3rd International Conference of Health, Science and Technology (ICOHETECH)",第三届健康、科学与技术国际会议,
ICOHETECH,ICOHETECH,
"September, 2022",2022年9月,
asset management system,资产管理系统,
tangible assets,有形资产,
fraud,舞弊,
asset abuse,资产滥用,
theft,盗窃,
private universities,私立大学,
database system,数据库系统,
system internal control on fixed asset,固定资产内部控制体系,
purchase of fixed assets,固定资产购买,
receipt of fixed assets,固定资产验收,
write-offs fixed assets,固定资产核销,
asset data reporting,资产数据报告,
Smart Campus,智慧校园,
university management,大学管理,
learning systems,学习系统,
scientific research,科学研究,
tangible,有形资产,
intangible assets,无形资产,
organizational goals,组织目标,
asset's life cycle,资产生命周期,
planning activities,规划活动,
disposals,处置,
organizational structure,组织结构,
RESEARCH METHODOLOGY,研究方法,
descriptive method analytics,描述性分析方法,
management permanent assets,永久资产管理,
asset internal control permanent,资产永久内部控制,
primary data,原始数据,
data collection process,数据收集过程,
Interview direct,直接访谈,
documentation,文档记录,
RESULTS AND DISCUSSION,结果与讨论,
Strategy for Management of Fixed Assets,固定资产管理策略,
system management asset,资产管理系统,
management asset based computer,基于计算机的资产管理,
SINAPRA (Infrastructure System),SINAPRA（基础设施系统）,
life cycle,生命周期,
asset management information system,资产管理信息系统,
work transparency,工作透明度,
supervision,监督,
control,控制,
utilization,利用,
diversion asset,资产转移,
physical facilities,物理设施,
higher education institutions,高等教育机构,
buildings,建筑物,
land,土地,
complexes,综合体,
equipment,设备,
room,房间,
production process,生产过程,
company's normal activities,公司正常活动,
useful life,使用寿命,
economic life,经济寿命,
operational activities,运营活动,
physical form,物理形态,
"International Conference of Health, Science and Technology (ICOHETECH)",健康、科学与技术国际会议,
document flow chart,文件流程图,
Request Flowchart Fixed assets,固定资产申请表流程图,
work unit,工作单位,
faculty,学院,
Letter of Request for Goods (SPB),货物申请表,
asset manager,资产管理员,
Asset procurement,资产采购,
Gilang,Gilang,
system of authority and recording procedures,权限与记录程序体系,
Mulyadi,Mulyadi,
Constraints,制约因素,
Optimizing Asset Management,优化资产管理,
gap analysis,差距分析,
Duta Bangsa University Surakarta,梭罗市杜塔邦萨大学,
managerial function,管理职能,
deviation procedure,程序偏差,
study program accreditation,专业认证,
planning beginning,初期规划,
fulfillment assessment adequacy infrastructure,基础设施充足性评估,
availability book library,图书馆藏书可用性,
support room studying,学习支持空间,
laboratory,实验室,
Support,支持,
commitment,承诺,
leadership,领导层,
study program,专业,
management asset,资产管理,
executor management asset,资产管理人员,
Duty management asset,资产管理职责,
procedure management assets,资产管理制度,
CONCLUSION,结论,
institution,机构,
separation of duties and responsibilities,职责分离,
flowchart,流程图,
Flowchart of requests for purchase of fixed assets,固定资产采购申请流程图,
asset managers,资产管理者,
Flowchart of the purchase of fixed assets,固定资产采购流程图,
partners,合作方,
management,管理层,
purchase,采购部门,
Flowchart of receipt of fixed assets,固定资产验收流程图,
purchasing department,采购部,
asset manager section,资产管理部门,
work units,工作单位,
infrastructure section,基础设施部门,
implementation,实施,
stage,阶段,
sense of responsibility,责任感,
development land,土地开发,
needs infrastructure learning,学习基础设施需求,
transfer process placement asset,资产转移安置流程,
land development,土地开发,
"Edson, M. E.","Edson, M. E.",
"Constance, M. O.","Constance, M. O.",
Challenges of Asset Manajemen in Institutions of Higher Education,高等教育机构资产管理的挑战,
Masvingo Province,马辛戈省,
Zimbabwe,津巴布韦,
International Journal of Research and Inovation in Social Science (IJRISS),国际研究与社会科学创新杂志,
company,公司,
methods,方法,
measurements,测量,
goals,目标,
programs,计划,
management policies,管理政策,
"3rdInternational Conference of Health, Science and Technology",第三届健康、科学与技术国际会议,
"Gilang, I.","Gilang, I.",
Manajemen Pengadaan Aset Barang dan Jasa yang Praktis dengan Procurite,使用 Procurite 的实用物资与服务采购管理,
Procurite,Procurite,
IAI,印度尼西亚会计师协会,
Dewan Standar Akuntansi Keuangan,财务会计准则委员会,
Standar Akuntansi Keuangan,财务会计准则,
SAK,SAK,
Aset Tetap,固定资产,
Jakarta,雅加达,
Ikatan Akuntan Indonesia,印度尼西亚会计师协会,
Smart Kampus,智慧校园,
Sistem Pengelolaan Aset di Perguruan Tinggi,高校资产管理系统,
GamatechnoBlog,Gamatechno博客,
an idea to bouild a better Indonesia,建设更美好印尼的构想,
"Kurniawan, Topan","Kurniawan, Topan",
Skripsi,学位论文,
"Meikhati, E.","Meikhati, E.",
"Rahayu, I.","Rahayu, I.",
Audit Internal,内部审计,
Efektivitas Pengendalian Internal,内部控制有效性,
Jurnal Paradigma,范式期刊,
"Vol.3, No.1",第3卷第1期,
Sistem Akuntansi,会计系统,
