source,target,tgt_lng
Appl. Sci.,应用科学,
spline,花键,
friction,摩擦,
contact pressure,接触压力,
friction components,摩擦组件,
mathematical model,数学模型,
numerical simulation,数值模拟,
bench test,台架试验,
friction pairs,摩擦副,
spline friction,花键摩擦,
torque capacity,扭矩容量,
lifetime,寿命,
multidisc clutch,多盘离合器,
numerical model,数值模型,
wet clutch,湿式离合器,
separate plates,分离片,
friction discs,摩擦盘,
cylinder,气缸,
spline teeth,花键齿,
clutch structure,离合器结构,
contact pressure model,接触压力模型,
friction pair,摩擦副,
interface temperature distribution,界面温度分布,
thermal model,热模型,
multi-disc clutch,多片离合器,
Figure 1,图1,
Newcomb et al.,Newcomb 等人,
Appl. Sci. 2021,应用科学 2021,
Man Chen,Man Chen,
Bin Zhang,Bin Zhang,
Yuqing Feng,Yuqing Feng,
Liang Wang,Liang Wang,
He Wang,He Wang,
"Appl. Sci. 2021, 11, 814","应用科学 2021, 11, 814",
School of Mechanical Engineering,机械工程学院,
Beijing Institute of Technology,北京理工大学,
Beijing,北京,
wet multidisc clutch,湿式多片离合器,
friction torque,摩擦力矩,
power-shift transmission,动力换挡变速器,
thermodynamic characteristics,热力学特性,
transient temperature model,瞬态温度模型,
Cui et al.,Cui 等人,
Xie et al.,Xie 等人,
Marklund et al.,Marklund 等人,
torque transmission model,扭矩传递模型,
Reye's theory,Reye 理论,
Archard's law,Archard 定律,
applied pressure,施加压力,
interface COF,界面摩擦系数,
torque transmission capacity,扭矩传递能力,
attenuation experiment,衰减实验,
test bench,试验台,
motor,电动机,
clutch pack,离合器组件,
hydraulic system,液压系统,
data collection and control system,数据采集与控制系统,
piston,活塞,
air pump,气泵,
lubricating oil,润滑油,
heat exchanger,换热器,
oil temperature,油温,
rotating speed,转速,
torque sensor,扭矩传感器,
static COF,静摩擦系数,
relative error,相对误差,
wet multi-disc clutch,湿式多片离合器,
FT,摩擦力矩,
axial direction,轴向方向,
average single-pair FT,平均单对摩擦扭矩,
structural parameters,结构参数,
lubrication flow,润滑流量,
Author Contributions,作者贡献,
National Natural Science Foundation of China,国家自然科学基金,
Ministry of Industry and Information Technology of China,中华人民共和国工业和信息化部,
Institutional Review Board Statement,机构审查委员会声明,
Informed Consent Statement,知情同意声明,
Data Availability Statement,数据可用性声明,
Conflicts of Interest,利益冲突,
Six-friction pair system,六摩擦副系统,
equivalent COF,等效摩擦系数,
total FT,总摩擦力矩,
two-friction pair system,双摩擦副系统,
axial contact pressure,轴向接触压力,
contact area,接触面积,
outer radius,外径,
inner radius,内径,
2D model,二维模型,
total friction force,总摩擦力,
single separate plate,单个分离片,
coefficient of friction (COF),摩擦系数,
contact surfaces,接触面,
oil pressure,油压,
attenuation amplitude,衰减幅度,
Test bench of the clutch,离合器试验台,
Experimental Method,实验方法,
separate plate,分离板,
65 Mn steel,65Mn钢,
copper-based powder metallurgy material,铜基粉末冶金材料,
nano-modifier,纳米改性剂,
10W/40-CF,10W/40-CF,
average unit flow rate,平均单位流量,
running-in test,磨合试验,
initial motor speed,初始电机转速,
engagement tests,接合试验,
measurement error,测量误差,
experiment cycles,实验周期,
friction disc,摩擦盘,
constant speed sliding,匀速滑动,
cylinder liner resistance torque,缸套阻力矩,
nominal tangential force,名义切向力,
normal force,法向力,
pitch radius,节圆半径,
involute spline,渐开线花键,
total number of splines,花键总数,
three-dimensional exploded layout,三维爆炸图,
cylinder liner,缸套,
driving shaft,驱动轴,
circlip,卡簧,
groove of cylinder liner,缸套槽,
piston chamber,活塞腔,
pressure oil,压力油,
transmission system,传动系统,
dynamic friction,动摩擦,
static friction,静摩擦,
MPa,MPa,
ideal case,理想情况,
relative sliding speed,相对滑动速度,
average contact pressure,平均接触压力,
surface temperature,表面温度,
back plate,背板,
friction component,摩擦元件,
attenuation coefficient of contact pressure,接触压力衰减系数,
attenuation coefficient ξs of the separate plate,分离板衰减系数ξs,
axial pressure attenuation,轴向压力衰减,
total FT transmitted by the clutch,离合器传递的总摩擦力矩,
physical parameters,物理参数,
number of pairs,摩擦副数,
axial attenuation characteristics,轴向衰减特性,
Nomenclature,术语表,
16-friction-pair system,16摩擦副系统,
Figure 8,图8,
Figure 7,图7,
Attenuation of the contact pressure,接触压力的衰减,
interface coefficient of friction,界面摩擦系数,
COF,摩擦系数,
asperity contact area,粗糙接触面积,
Inner-outer radii,内外半径,
clutch,离合器,
cylinder liner resistance torque Ts,缸套阻力扭矩Ts,
friction force Fs,摩擦力Fs,
nominal tangential force Fcs,名义切向力Fcs,
normal force Fns,法向力Fns,
axial contact pressure Fp,轴向接触压力Fp,
pitch radius Rs,节圆半径Rs,
pressure angle αs,压力角αs,
References,参考文献,
"Yang, L.K.","Yang, L.K.",
"Ma, B.","Ma, B.",
"Ahmadian, M.","Ahmadian, M.",
"Li, H.Y.","Li, H.Y.",
"Vick, B.","Vick, B.",
Pressure distribution of a multidisc clutch suffering frictionally induced thermal load,承受摩擦热载荷的多片离合器压力分布,
Tribol. Trans.,摩擦学学报,
"Yu, L.","Yu, L.",
"Chen, M.","Chen, M.",
"Ma, C.N.","Ma, C.N.",
"Liu, J.K.","Liu, J.K.",
Materials,材料,
"Tatara, R.A.","Tatara, R.A.",
"Payvar, P.","Payvar, P.",
Multiple engagement wet clutch heat transfer model,多次接合湿式离合器传热模型,
Numer. Heat Transfer A Appl.,数值传热A: 应用,
"Bao, H.Y.","Bao, H.Y.",
"Zhang, C.","Zhang, C.",
"Hou, X.N.","Hou, X.N.",
"Lu, F.X.","Lu, F.X.",
Wear Characteristics of Different Groove-Shaped Friction Pairs of a Friction Clutch,摩擦离合器不同沟槽形状摩擦副的磨损特性,
"Wang, S.Y.","Wang, S.Y.",
