source,target,tgt_lng
Sustainable Leadership,可持续领导力,
Conflict Management,冲突管理,
Greece,希腊,
Public Sector,公共部门,
Kyriaki Aravidou,Kyriaki Aravidou,
Sotiria Triantari,Sotiria Triantari,
Ioannis Zervas,Ioannis Zervas,
Special Issue,特刊,
Enterprise Performance,企业绩效,
Teamwork,团队协作,
Team Management,团队管理,
Sustainable Enterprise,可持续企业,
Public Organizations Development,公共组织发展,
Dr. Georgios Tsekouropoulos,Georgios Tsekouropoulos博士,
Dr. Stefanos Tsiaras,Stefanos Tsiaras博士,
Dr. George Kokkinis,George Kokkinis博士,
quantitative,定量,
cross-sectional methodology,横截面研究方法,
structured questionnaires,结构化问卷,
supervisors,主管,
employees,员工,
Central Macedonia Region,中马其顿地区,
exploratory factor analysis (EFA),探索性因子分析,
regression,回归分析,
Sustainability,Sustainability,
doi,DOI,
Greek public sector,希腊公共部门,
leadership styles,领导风格,
cultural dimensions,文化维度,
power distance,权力距离,
interpersonal relationships,人际关系,
organizational hierarchies,组织层级,
hierarchical structure,层级结构,
research questions,研究问题,
methodology,方法论,
cultural values,文化价值观,
hierarchical perceptions,层级感知,
Literature Review,文献综述,
organizational dynamics,组织动力学,
Conflict Resolution,冲突解决,
organizational objectives,组织目标,
team-oriented,团队导向型,
authoritarian,专制型,
Wang 's research,Wang的研究,
organizational sustainability,组织可持续性,
employee performance,员工绩效,
avoidance,回避,
compromise,妥协,
use of power,权力使用,
organizing,组织,
confrontation,对抗,
mitigation,缓和,
job satisfaction,工作满意度,
Hussein et al.,Hussein等人,
self-confidence,自信,
workplace culture,职场文化,
trust,信任,
collaboration,协作,
long-term commitment,长期承诺,
employee development,员工发展,
empowerment,赋权,
Academic Editor: Mark A. Bonn,学术编辑：马克·A·波恩,
"Aravidou, K.",阿拉维杜，K.,
"Triantari, S.",特里安塔里，S.,
"Zervas, I.",泽瓦斯，I.,
Sustainable Leadership and Conflict Management: Insights from Greece’s Public Sector,可持续领导力与冲突管理：来自希腊公共部门的见解,
Creative Commons Attribution (CC BY) license,知识共享署名(CC BY)许可协议,
Department of Early Childhood Education,幼儿教育系,
University of Western Macedonia,西马其顿大学,
Florina,弗洛里纳,
Department of International and European Studies,国际与欧洲研究系,
University of Macedonia,马其顿大学,
Thessaloniki,塞萨洛尼基,
Department of Applied Informatics,应用信息学系,
sustainable leadership styles,可持续领导风格,
conflict management strategies,冲突管理策略,
collaborative leadership,协作型领导,
transformational leadership,变革型领导,
authoritarian leadership,威权型领导,
workplace conflict resolution,职场冲突解决,
case study methodology,案例研究方法,
Departments of Public Works,公共工程局,
questionnaires,问卷,
quantitative methods,定量方法,
employee satisfaction,员工满意度,
effective conflict resolution,有效冲突解决,
flat hierarchical structures,扁平化层级结构,
open communication,开放沟通,
workplace tension,职场紧张,
lower satisfaction,低满意度,
high power-distance environments,高权力距离环境,
cultural factors,文化因素,
leadership effectiveness,领导效能,
culturally adaptive leadership strategies,文化适应性领导策略,
sustainable leadership strategies,可持续领导力策略,
harmony,和谐,
productivity,生产力,
conflict resolution strategies,冲突解决策略,
organizational resilience,组织韧性,
public administration,公共行政,
behavioral impact,行为影响,
public sector management,公共部门管理,
sustainable workplace dynamics,可持续职场动态,
Author Contributions,作者贡献,
Funding,基金资助,
Institutional Review Board Statement,机构审查委员会声明,
Informed Consent Statement,知情同意声明,
Data Availability Statement,数据可用性声明,
FigShare,FigShare,
Conflicts of Interest,利益冲突,
Bibliometric Analysis,文献计量分析,
West Science Business and Management,West Science Business and Management,
Perception Discrepancy,感知差异,
Leadership Style,领导风格,
Subordinates’ Performance,下属绩效,
Psychometric Assessment,心理测量评估,
Public and Private Bank in India,印度公私银行,
Asian Journal of Management,Asian Journal of Management,
Leader – Manager Debate,领导者-管理者争论,
Greek Public Administration,希腊公共行政,
International Conference on Business and Economics,International Conference on Business and Economics,
Hellenic Open University,Hellenic Open University,
Health Professionals’ Emotional Intelligence,医疗专业人员情绪智力,
Conflict Management in a Public Hospital,公立医院冲突管理,
Magna Scientia Advanced Research and Reviews,Magna Scientia Advanced Research and Reviews,
Paediatric Hospitals in Greece,希腊儿科医院,
Journal of Nursing Management,Journal of Nursing Management,
Toxic Workplace Environment,有毒工作环境,
Employee Engagement,员工敬业度,
Organizational Support,组织支持,
Employee Wellbeing,员工福祉,
International Journal of Environmental Research and Public Health,International Journal of Environmental Research and Public Health,
Leadership Style and Conflict Resolution Strategy,领导风格与冲突解决策略,
Sustainable India,可持续印度,
International Journal of Business and Globalisation,International Journal of Business and Globalisation,
Empowering Leadership,赋能型领导力,
Performance Booster,绩效助推器,
PLoS ONE,PLoS ONE,
Leadership Guide to Conflict and Conflict Management,冲突与冲突管理领导力指南,
Ohio State University,俄亥俄州立大学,
Conflict Avoidance,冲突回避,
International Journal of Conflict Management,International Journal of Conflict Management,
Perception-Behavior Expressway,感知-行为高速公路,
Social Perception,社会感知,
