source,target,tgt_lng
CODEBOOK,编码手册,
METHODOLOGY,方法论,
INCLUSION CRITERIA,纳入标准,
VARIABLES,变量,
August 2021,2021年8月,
GTD,全球恐怖主义数据库,
ID,编号,
DATE,日期,
INCIDENT INFORMATION,事件信息,
INCIDENT LOCATION,事件地点,
ATTACK INFORMATION,袭击信息,
WEAPON INFORMATION,武器信息,
TARGET/VICTIM INFORMATION,目标/受害者信息,
PERPETRATOR INFORMATION,perpetrator 信息,
CASUALTIES AND CONSEQUENCES,伤亡与后果,
ADDITIONAL INFORMATION AND SOURCES,附加信息与来源,
APPENDIX I,附录 I,
DATA COLLECTION EFFORTS FOR THE GLOBAL TERRORISM DATABASE,全球恐怖主义数据库数据收集工作,
APPENDIX II,附录 II,
COUNTRY-LEVEL STATISTICS FOR 1993,1993年国家层面统计,
GLOBAL TERRORISM DATABASE,全球恐怖主义数据库,
UNIVERSITY OF MARYLAND,马里兰大学,
Legacy Issues,遗留问题,
Transparency,透明度,
Inclusiveness,包容性,
Funding,资金,
Privacy,隐私,
Codebook Changes,编码手册变更,
CURRENT DATA COLLECTION METHODOLOGY,当前数据收集方法,
2012-PRESENT,2012年至今,
GTD DEFINITION OF TERRORISM AND INCLUSION CRITERIA,GTD恐怖主义定义及纳入标准,
ADDITIONAL FILTERING MECHANISM,附加过滤机制,
DOUBT TERRORISM PROPER,怀疑是否为纯粹恐怖主义,
PLOTS,阴谋,
CONSPIRACIES,密谋,
UNSUCCESSFUL ATTACKS,未成功袭击,
SINGLE INCIDENT DETERMINATION,单一事件判定,
CITING THE GLOBAL TERRORISM DATABASE,引用全球恐怖主义数据库,
DATABASE VARIABLES,数据库变量,
validity,有效性,
bias,偏差,
personally identifiable information,个人身份信息,
PII,PII,
date of birth,出生日期,
home address,家庭住址,
identification number,身份证号码,
research team,研究团队,
systematic review process,系统审查流程,
attack records,袭击记录,
start.umd.edu,start.umd.edu,
time lag,时间滞后,
terrorist attacks,恐怖袭击,
source documents,源文件,
data collection,数据收集,
subject matter experts,主题专家,
source validity,来源有效性,
geo-location,地理位置,
city centroid,城市中心点,
neighborhood/region centroid,社区/区域中心点,
assailants,袭击者,
suspected assailants,疑似袭击者,
event summaries,事件摘要,
National Consortium for the Study of Terrorism and Responses to Terrorism,国家恐怖主义与反恐研究联盟,
START,START,
terrorism,恐怖主义,
terrorist attack,恐怖袭击,
dataset,数据集,
GTD ID,GTD编号,
incident date,事件日期,
perpetrator statistics,实施者统计,
claims of responsibility,责任声明,
casualty information,伤亡信息,
consequences,后果,
