source,target,tgt_lng
PID controllers,PID控制器,
process control,过程控制,
industries,工业,
retuning control parameters,再整定控制参数,
robustness,鲁棒性,
simplicity,简单性,
ease,便利性,
speed overshoot,速度超调,
sluggish response,响应迟缓,
load torque,负载扭矩,
controller gains,控制器增益,
system models,系统模型,
variables,变量,
S.B. Joseph,S.B. Joseph,
Bansal et al.,Bansal等人,
Abbasi and Naghavi,Abbasi和Naghavi,
Åström and Hägglund,Åström和Hägglund,
Bennett,Bennett,
Kushwah and Patra,Kushwah和Patra,
Elsevier,Elsevier,
CC BY-NC-ND,CC BY-NC-ND,
Heliyon,Heliyon,
ScienceDirect,ScienceDirect,
PID controller,PID控制器,
metaheuristic algorithm,元启发式算法,
Stephen Bassi Joseph,Stephen Bassi Joseph,
Emmanuel Gbenga Dada,Emmanuel Gbenga Dada,
Afeez Abidemi,Afeez Abidemi,
David Opeoluwa Oyewola,David Opeoluwa Oyewola,
Ban Mohammed Khammas,Ban Mohammed Khammas,
University of Maiduguri,迈杜古里大学,
Nigeria,尼日利亚,
"Federal University of Technology, Akure",联邦理工大学阿库雷分校,
Federal University Kashere,卡谢雷联邦大学,
Al-Nahrain University,纳赫赖因大学,
Baghdad,巴格达,
Iraq,伊拉克,
PID controller tuning,PID控制器参数整定,
soft computing,软计算,
machine learning,机器学习,
Ziegler Nichols closed loop oscillation,齐格勒-尼科尔斯闭环振荡,
Cohen-Coon's process reaction curve,科恩-库恩过程反应曲线,
feedback control,反馈控制,
proportional-integral-derivative (PID) controller,比例-积分-微分（PID）控制器,
P-mode,P模式,
PI mode,PI模式,
PD-mode,PD模式,
PID mode,PID模式,
Controller tuning,控制器整定,
feedback controllers,反馈控制器,
dynamic systems,动态系统,
control engineering,控制工程,
PID control,PID控制,
nonlinear systems,非线性系统,
Ziegler and Nichols,Ziegler and Nichols,
linear systems stabilization,线性系统镇定,
Lozano et al.,Lozano等人,
control variables,控制变量,
closed-loop control system,闭环控制系统,
stability,稳定性,
durability,持久性,
performance tracking,性能跟踪,
performance measurement,性能测量,
noise reduction,降噪,
disturbance rejection,扰动抑制,
environmental uncertainties,环境不确定性,
PID tuning strategies,PID整定策略,
Moradi,Moradi,
Johnson and Moradi,Johnson and Moradi,
process model,过程模型,
Model free methods,无模型方法,
Non-parametric model methods,非参数模型方法,
steady state representation,稳态表示,
critical frequency locations,临界频率点,
In-depth data methods,深度数据方法,
subspace strategy,子空间策略,
grey knowledge,灰色知识,
fuzzy logic systems,模糊逻辑系统,
Parametric model methods,参数模型方法,
online identification,在线辨识,
offline PID tuning,离线PID整定,
Non-Optimal Parametric,非最优参数方法,
optimal (Restricted Structure control),最优（受限结构控制）,
optimal (control signal matching),最优（控制信号匹配）,
Moradi (2003),Moradi (2003),
Johnson and Moradi (2005),Johnson and Moradi (2005),
PID parameters tuning,PID参数整定,
Bansal et al. (2012),Bansal 等 (2012),
Classical Techniques,经典方法,
Computational Techniques,计算方法,
"Ziegler and Nichols (1942, 1993) method","Ziegler-Nichols 方法 (1942, 1993)",
Cohen (1953) method,Cohen 方法 (1953),
cost function,代价函数,
Integral Absolute Error (IAE),积分绝对误差 (IAE),
Integral Square Error (ISE),积分平方误差 (ISE),
Integral Time Absolute Error (ITAE),积分时间绝对误差 (ITAE),
Integral Time Square Error (ITSE),积分时间平方误差 (ITSE),
Mean Square Error (MSE),均方误差 (MSE),
Integral Error (IE),积分误差 (IE),
Artificial Immune System algorithm,人工免疫系统算法,
"Kim et al., 2002","Kim 等, 2002",
"Shatnawi and Quwaider, 2019","Shatnawi 和 Quwaider, 2019",
"Quwaider and Shatnawi, 2020","Quwaider 和 Shatnawi, 2020",
Simulated annealing,模拟退火,
"Haber et al., 2007","Haber 等, 2007",
Particle Swarm Optimization (PSO),粒子群优化 (PSO),
"Bassi et al., 2011","Bassi 等, 2011",
self tuning,自整定,
automatic tuning,自动整定,
Rodríguez-Molina et al. (2020),Rodríguez-Molina 等 (2020),
Villarreal-Cervantes and Alvarez-Gallegos (2016),Villarreal-Cervantes 和 Alvarez-Gallegos (2016),
Ang et al. (2005),Ang 等 (2005),
Analytical methods,解析方法,
"Lyapunov (Li et al., 2009)","Lyapunov (Li 等, 2009)",
root locus,根轨迹,
Baker (2011),Baker (2011),
linear system,线性系统,
nonlinear system,非线性系统,
frequency response,频率响应,
internal model control,内模控制,
lambda method,λ方法,
E.G. Dada,E.G. Dada,
A. Abidemi,A. Abidemi,
Parkinson's disease,帕金森病,
modified grey wolf optimization,改进灰狼优化,
Cogn. Syst. Res.,Cogn. Syst. Res.,
Brushless DC motor controller,无刷直流电机控制器,
International Conference on Electrical Drives & Power Electronics,国际电力驱动与电力电子会议,
EDPE,EDPE,
IEEE,IEEE,
Congestion control,拥塞控制,
ATM networks,ATM网络,
immune algorithm,免疫算法,
International Conference on Information and Communication Systems,国际信息与通信系统会议,
ICICS,ICICS,
Farmland fertility,农田肥力,
continuous optimization problems,连续优化问题,
Appl. Soft Comput.,应用软计算,
krill herd algorithm,磷虾群算法,
frequency stabilizing,频率稳定,
isolated wind-diesel system,孤立风柴系统,
International Conference on Artificial Intelligence,国际人工智能会议,
ICAI,ICAI,
The Steering Committee of the World Congress in Computer Science,世界计算机科学大会指导委员会,
corporate financial distress,企业财务困境,
America banking industry,美国银行业,
Neural Comput. Appl.,Neural Comput. Appl.,
evolutionary computation algorithms,进化计算算法,
Inf. Sci.,Inf. Sci.,
process optimization,过程优化,
"Simulated Annealing: Introduction, Applications and Theory",模拟退火：介绍、应用与理论,
Int. J. Artif. Intell. Tools,Int. J. Artif. Intell. Tools,
robust PID control,鲁棒PID控制,
pre-filter,预滤波器,
perfect itae performance criterion,完美ITAE性能准则,
heavy-duty gas turbine fuel system,重型燃气轮机燃料系统,
Int. J. Adv. Eng. Res. Sci.,Int. J. Adv. Eng. Res. Sci.,
Biogeography-based optimization,基于生物地理学的优化,
IEEE Trans. Evol. Comput.,IEEE Trans. Evol. Comput.,
ant colony algorithm,蚁群算法,
position control of DC motor,直流电机位置控制,
International Conference on Renewable Energy Research and Applications,国际可再生能源研究与应用会议,
ICRERA,ICRERA,
PID tuning,PID整定,
servo motor,伺服电机,
bat algorithm,蝙蝠算法,
Proc. Comput. Sci.,Proc. Comput. Sci.,
BFO algorithm,细菌觅食优化算法,
MIMO process,多输入多输出过程,
Indian J. Sci. Technol.,Indian J. Sci. Technol.,
simple PID tuning rules,简单PID整定规则,
AIChE Annual Meeting,AIChE年会,
"Reno, Nevada",内华达州里诺,
Robust feedback controller design,鲁棒反馈控制器设计,
cuckoo search optimization,布谷鸟搜索优化,
stability radius,稳定半径,
International Conference on Robot Intelligence Technology and Applications,国际机器人智能技术与应用会议,
Springer,Springer,
particle swarm optimization,粒子群优化,
International Conference on Machine Learning and Cybernetics,国际机器学习与控制论会议,
BF-PSO,BF-PSO,
ISE,ISE,
IAE,IAE,
IATE,IATE,
MSE,MSE,
Int. J. Adv. Res. Comput. Eng. Technol.,Int. J. Adv. Res. Comput. Eng. Technol.,
Concepts of Chemical Engineering for Chemists,化学工程师的化学工程概念,
Royal Society of Chemistry,皇家化学学会,
Genetic algorithm,遗传算法,
self tuning regulator,自整定调节器,
ball and hoop system,球环系统,
Conference on Emerging Devices and Smart Systems,新兴器件与智能系统会议,
ICEDSS,ICEDSS,
PID controller tuning methods,PID控制器整定方法,
three tank level process,三水箱液位过程,
Int. J. Adv. Res. Electr. Electron. Instrum. Eng.,Int. J. Adv. Res. Electr. Electron. Instrum. Eng.,
PSO algorithms,粒子群优化算法,
Chin. J. Mech. Eng.,Chin. J. Mech. Eng.,
heuristic and metaheuristic algorithms,启发式和元启发式算法,
constrained Weber problem,约束韦伯问题,
feasible region bounded by arcs,弧形边界可行域,
Math. Probl. Eng.,Math. Probl. Eng.,
Differential evolution,差分进化,
global optimization,全局优化,
J. Glob. Optim.,J. Glob. Optim.,
