source,target,tgt_lng
Library of Congress Cataloging-in-Publication Data,美国国会图书馆出版编目数据,
"Steed, Paul",Paul Steed,
Modeling a character in 3ds max,在3ds Max中建模角色,
second edition,第二版,
Computer animation,计算机动画,
Computer graphics,计算机图形学,
3ds max,3ds Max,
"Wordware Publishing, Inc.","Wordware Publishing, Inc.",
Discreet,Discreet,
3DStudio MAX,3DStudio MAX,
Autodesk Canada Inc.,Autodesk Canada Inc.,
"Autodesk, Inc.","Autodesk, Inc.",
design,设计,
real-time character,实时角色,
hard limitations,硬性限制,
polygon limitations,多边形限制,
PC,个人电脑,
Xbox 2,Xbox 2,
PlayStation 3,PlayStation 3,
transparency mapping,透明贴图,
two-sided segmented planes,双面分段平面,
bones,骨骼,
skeleton,骨架,
morph targets,形态目标,
texture resolution,纹理分辨率,
XNA demo,XNA演示,
Xbox,Xbox,
triangles,三角形,
Acknowledgments,致谢,
Introduction,引言,
Part I: Design,第一部分：设计,
Chapter 1 Design Fundamentals,第1章 设计基础,
Limitations,局限,
Make It Cool,让它酷,
Drawing Skills,绘画技巧,
Proportions,比例,
Reference Material,参考资料,
Influences,影响,
Work Environment,工作环境,
Chapter 2 Callisto Designed,第2章 卡利斯托设计,
Background,背景,
Makeover,改造,
A Pose to Build By,构建姿势,
Getting Her into the Computer,将其输入计算机,
Step 1: Scan the Sketch,步骤1：扫描草图,
Step 2: Save It,步骤2：保存,
Step 3: Resize the Images in Photoshop,步骤3：在Photoshop中调整图像大小,
Step 4: Darken It,步骤4：加深颜色,
Step 5: Save It Again,步骤5：再次保存,
Part II: Modeling,第二部分：建模,
Chapter 3 The Guide Objects,第3章 引导对象,
