source,target,tgt_lng
MAKING CONNECTIONS,建立连接,
DESIGN STRATEGY,设计策略,
ALEXANDER WATERFRONT DISTRICT,亚历山大滨水区,
WINNIPEG,温尼伯,
Kangjian Luo,罗康建,
Faculty of Graduate Studies,研究生院,
University of Manitoba,曼尼托巴大学,
Master in City Planning,城市规划硕士,
Dr. David van Vliet MCIP,David van Vliet博士 MCIP,
Dr. Ian Wight MCIP,Ian Wight博士 MCIP,
"Mr. Stephen Cohlmeyer MAA, OAA, FRAIC","Stephen Cohlmeyer先生 MAA, OAA, FRAIC",
Department of City Planning,城市规划系,
Faculty of Architecture,建筑学院,
September 2002,2002年9月,
THE UNIVERSITY OF MANITOBA,曼尼托巴大学,
MAKING CONNECTIONS: DESIGN STRATBGY FOR THE ALEXANDER WATERFRONT DISTRICT IN WINNIPEG,建立联系：温尼伯亚历山大滨水区设计策略,
MASTER OF CITY PLANNING,城市规划硕士,
Library of the University of Manitoba,曼尼托巴大学图书馆,
National Library of Canada,加拿大国家图书馆,
University Microfilms Inc.,大学微缩胶片公司,
City of Winnipeg,温尼伯市,
Dr. David van Vliet,David van Vliet博士,
Ethics Review Broad,伦理审查委员会,
Architecture and Fine Arts Library,建筑与美术图书馆,
University of Manitoba Human Ethics Secretariat,马尼托巴大学人类伦理秘书处,
crime prevention,犯罪预防,
Toronto,多伦多,
design of the physical environment,物理环境设计,
territorial markers,领土标志,
natural surveillance,自然监视,
eyes on the street,街道之眼,
Jane Jacobs,简·雅各布斯,
Kevin Lynch,凯文·林奇,
Boston Tomorrow,波士顿明天,
20th century,20世纪,
large cruise ship terminals and piers,大型邮轮码头和客运码头,
commuter ferries,通勤渡轮,
Boston,波士顿,
Daniel Ahem,Daniel Ahem,
White House Conference on Natural Beauty,白宫自然美会议,
Water Quality Act,水质法案,
Environmental Protection Agency,环境保护局,
National Oceanic and Atmospheric Administration,国家海洋和大气管理局,
Urban Beautification Program,城市美化计划,
Centennial Concert Hall,百年音乐厅,
Museum of Man and Nature,人与自然博物馆,
Manitoba Theatre Centre,马尼托巴剧院中心,
Children's Museum,儿童博物馆,
MTC Warehouse Upgrading,MTC仓库升级,
Ashdown Warehouse,阿什当仓库,
Market Av.,市场大道,
Rorie St.,罗里街,
Stephen Juba Park,斯蒂芬·朱巴公园,
North Main,北主街,
Ukrainian Cultural and Educational Center,乌克兰文化与教育中心,
Scottish Cultural Center,苏格兰文化中心,
Riverbank Development Program,河岸开发计划,
Winnipeg Development Agreement,温尼伯发展协议,
Forks,福克斯,
Alexander Dock,亚历山大码头,
North Point Douglas,北道格拉斯角,
historic building conversion,历史建筑改造,
streetscaping improvement,街景改善,
industrial facilities,工业设施,
residential development,住宅开发,
aboriginal population,原住民人口,
immigrant population,移民人口,
low-income neighborhood,低收入社区,
deteriorated neighborhood,衰败社区,
multi-culture,多元文化,
revitalization,复兴,
public space,公共空间,
riverfront parkway,河滨公园大道,
population,人口,
24.2yo,24.2岁,
People aged 75 or greater,75岁及以上人口,
visible minorities,可见少数族裔,
educational level,教育水平,
employment ratio,就业率,
annual income,年收入,
dwelling tenures,住房所有权,
rented,租赁,
mobility ratio,流动率,
1996 census,1996年人口普查,
Old Financial District,旧金融区,
population increase,人口增长,
university degree,大学学位,
household income,家庭收入,
"L'[/innipeg Neighborhood Profiles: Old Financtal District ]996 Census Dalø, Statistics Canada",温尼伯社区概况：旧金融区1996年人口普查数据，加拿大统计局,
2001 census,2001年人口普查,
Statistics Canada,加拿大统计局,
Mumford,芒福德,
Fen-hsi,汾西,
Shansi Province,山西省,
Fen River,汾河,
La Charite-sur-Loire,La Charite-sur-Loire,
Alfeld-an-der-Leine,Alfeld-an-der-Leine,
Frankfort-am-Raten,Frankfort-am-Raten,
Stratford-on-Avon,Stratford-on-Avon,
Newport,纽波特,
New York,纽约,
Philadelphia,费城,
Baltimore,巴尔的摩,
water transportation,水运,
waterway,水道,
mass transportation,大规模运输,
river valleys,河谷,
navigation,航行,
ancient civilizations,古代文明,
Yellow River,黄河,
Indus,印度河,
Euphrates,幼发拉底河,
Nile,尼罗河,
early port cities,早期港口城市,
Atlantic coast,大西洋沿岸,
waterfront,滨水区,
urban development,城市发展,
port,港口,
colonial time,殖民时期,
Key Informants,关键知情人,
AWD,AWD,
mixed-use area,混合用途区域,
residential reuse of historic building,历史建筑住宅再利用,
waterfront projects,滨水项目,
St. Paul,圣保罗,
Halifax,哈利法克斯,
Milwaukee,密尔沃基,
Waterfront development,滨水开发,
Urban Waterfront Redevelopment,城市滨水再开发,
North America,北美,
Arthur Cotton Moore,亚瑟·科顿·摩尔,
urban renewal program,城市更新计划,
waterfront area,滨水区域,
cargo containerization,货物集装箱化,
World War Two,第二次世界大战,
port facilities,港口设施,
abandoned waterfront property,废弃滨水地产,
"Gardiner, J.L.","Gardiner, J.L.",
"Edwards, P.J.","Edwards, P.J.",
"Ball, J.H.","Ball, J.H.",
Urban Waterside: Context and Sustainability,城市滨水区：背景与可持续性,
"White, K. N.","White, K. N.",
Urban Waterside Regeneration: Problems and Prospects,城市滨水区再生：问题与展望,
Ellis Horwood,Ellis Horwood,
"Gehl, Jan",扬·盖尔,
Life between Buildings,交往与空间,
Van Nostrand Reinhold Company,Van Nostrand Reinhold公司,
"Heckscher, August",奥古斯特·赫克歇尔,
Open Spaces: the Life of American Cities,开放空间：美国城市的生活,
Harper & Row Publishers,Harper & Row Publishers,
"Hough, Michael",迈克尔·霍夫,
"Barrett, Suzanne",苏珊娜·巴雷特,
People and City Landscapes,人与城市景观,
Conservation Council of Ontario,安大略省保护委员会,
"Jacobs, Jane",简·雅各布斯,
The Death and Life of Great American Cities,美国大城市的死与生,
Random House,兰登书屋,
"Jones, Bernie",伯尼·琼斯,
Neighborhood Planning: A Guide for Citizens and Planners,邻里规划：市民与规划师指南,
Washington D. C.,华盛顿特区,
APA Planners Press,APA规划出版社,
"Kostof, Spiro",斯皮罗·科斯托夫,
The City Assembled: the Elements of Urban Form Through History,城市形态：城市的历史演进,
London,伦敦,
Thames and Hudson,泰晤士与哈德逊出版社,
"Kotval, Zenia",泽尼亚·科特瓦尔,
"Mullin, John R.",约翰·R·穆林,
Waterfront Planning as a Strategic Incentive to Downtown Enhancement and Livability,滨水规划作为提升市中心活力与宜居性的战略激励,
"Burayidi, Michael",迈克尔·布赖迪,
Downtowns: Revitalizating the Centers of Small Urban Communities,市中心：振兴小城市社区的中心,
Routledge,Routledge出版社,
"Lang, Ion",伊恩·朗,
Urban Design: The American Experience,城市设计：美国的经验,
"Lehmann, Richard 4.",Richard 4. Lehmann,
"Wood, Donald F.",Donald F. Wood,
Waterfront Renewal: What Recent Events and Trends Portend for the Nation's Urban Water Frontage,滨水区更新：近期事件与趋势对城市滨水区的预示,
The Journal of Housing,住房杂志,
"London, Mark",马克·伦敦,
Urban Waterfront Planning,城市滨水区规划,
Canadian Institute of Planner Forum,加拿大规划师论坛,
Canadian Institute of Planner,加拿大规划师协会,
Ottawa,渥太华,
"Lynch, Kevin",凯文·林奇,
The Image of the City,城市意象,
"Cambridge, Massachusetts",马萨诸塞州剑桥,
MIT Press,麻省理工学院出版社,
A Theory of Good City Form,良好城市形态理论,
Bibliography,参考文献,
"Banerjee, Tridib","Banerjee, Tridib",
"Southworth, Michael","Southworth, Michael",
City Sense and City Design,城市感知与城市设计,
Writing and Projects of Kevin Lynch,凯文·林奇的著作与项目,
The MIT Press,麻省理工学院出版社,
"Balchen, Bess","Balchen, Bess",
"Linville, Jack","Linville, Jack",
The Waterfront: Let's Face It,滨水区：直面现实,
AIA Journal,AIA Journal,
"Barnett, Jonathan","Barnett, Jonathan",
An Introduction to Urban Design,城市设计导论,
"Braunfels, W.","Braunfels, W.",
Urban Design in Western Europe,西欧城市设计,
Chicago/London,芝加哥/伦敦,
K. J. Northcott,K. J. Northcott,
"Breen, Ann","Breen, Ann",
"Rigby, Dick","Rigby, Dick",
Waterfronts: Cities Reclaim their Edges,滨水区：城市重塑边缘,
McGraw-Hill,McGraw-Hill,
The New Waterfront: a Worldwide Urban Success Story,新滨水区：全球城市成功故事,
Prospect,展望,
Landscape Architecture,景观建筑学,
Bureau of Travel and Publicity,旅游局与宣传部,
"Department of Industry and Commerce, Manitoba",马尼托巴省工商部,
City of the Rivers,河流之城,
Queen's Printer,女王出版社,
Our Place: North Main Task Force,我们的地方：北主街工作组,
"Cowey, Ann Breen","Cowey, Ann Breen",
"Rigby, Richard","Rigby, Richard",
On the Waterfront,在滨水区,
Planning,规划,
"Cleveland, H. W. S.","Cleveland, H. W. S.",
suggestions for a System of Parks and Parkways for the City of Minneapolis,明尼阿波利斯市公园与公园路系统建议,
