source,target,tgt_lng
earthenware,陶器,
utilitarian vessels,实用器皿,
jars,罐,
urns,瓮,
vats,缸,
pots,壶,
bowls,碗,
broad shoulders,宽肩,
globular belly,鼓腹,
constricted mouth,敛口,
small base,小底,
mountainous environments,山地环境,
harmonious proportions,和谐比例,
height-to-width,高宽比,
mouth-to-belly,口腹比,
multimodal IP design framework,多模态IP设计框架,
ICH symbols,非遗符号,
symbol extraction,符号提取,
visual translation,视觉转译,
multimodal dissemination,多模态传播,
semiotics,符号学,
signifier,能指,
signified,所指,
Wuling Mountain area,武陵山区,
Tujia,土家族,
Miao,苗族,
Shijituo,石鸡坨,
Zhuoshui,濯水,
Qianjiang District,黔江区,
Representative Items List of Intangible Cultural Heritage of Chongqing Municipality,重庆市非物质文化遗产代表性项目名录,
southeastern Chongqing earthenware,渝东南土陶,
ICH,非物质文化遗产,
ICH-oriented IP design,面向非物质文化遗产的IP设计,
cultural-creative sector,文创产业,
traditional cultural symbols,传统文化符号,
People’s Daily,人民日报,
Beijing-Opera facial makeup,京剧脸谱,
auspicious cloud motifs,祥云纹样,
Peking-Opera IP editions,京剧IP版,
Nantong blue calico,南通蓝印花布,
Yin Yue,尹月,
IP-ization,IP化,
Liu Ning,刘宁,
Sun Yujun,孙玉军,
Mulao legend,仫佬族传说,
White Horse Goddess,白马娘娘,
Panofsky’s three-level iconological analysis,潘诺夫斯基的三层次图像学分析,
Design Theory Foundations from Semiotics and Visual Communication,符号学与视觉传播的设计理论基础,
Semiotic theory,符号学理论,
Saussure,索绪尔,
signifier–signified model,能指-所指模型,
Cassirer,卡西尔,
man is a symbolic animal,人是符号动物,
Visual communication,视觉传播,
Zhang Yuting,张雨婷,
Yu Guitao,余桂淘,
Qianjiang earthenware,黔江陶器,
"Volume 3, Issue 7",第3卷第7期,
"Lecture Notes in Education, Arts, Management and Social Science",教育、艺术、管理与社会科学讲义,
ISSN(Online): 2705-053X,国际标准刊号（在线）：2705-053X,
Toward a Theoretical Framework for Multimodal IP Design with ICH Symbols,面向非物质文化遗产符号的多模态IP设计理论框架,
Mengqi Fang,方梦琪,
Lei Su,苏磊,
Sichuan Fine Arts Institute,四川美术学院,
Chongqing,重庆,
Chongqing Normal University,重庆师范大学,
Copyright,版权,
Creative Commons Attribution License (CC BY 4.0),知识共享署名许可协议（CC BY 4.0）,
intangible cultural heritage (ICH),非物质文化遗产,
multimodal IP design,多模态IP设计,
visual communication theory,视觉传播理论,
brand-oriented IP design,品牌化IP设计,
form language,造型语言,
color composition,色彩构成,
cultural connotations,文化内涵,
semiotic decoding,符号解码,
image reconstruction,形象重构,
regional branding,地域品牌建设,
national image building,国家形象塑造,
Guochao (China-chic),国潮,
cultural confidence,文化自信,
place branding,地方品牌化,
formal language,形式语言,
color scheme,色彩方案,
IP design,IP设计,
multimodal strategies,多模态策略,
Southwest ethnic ICH,西南少数民族非物质文化遗产,
cross-disciplinary design methods,跨学科设计方法,
digital modeling,数字建模,
AR,增强现实,
cultural soft power,文化软实力,
Chinese aesthetics,中国美学,
international cultural exchange,国际文化交流,
heritage bearers,传承人,
techniques,技艺,
Chongqing Social Science Planning Program,重庆市社会科学规划项目,
golden ratio,黄金比例,
unity of heaven and humanity,天人合一,
white-tiger totem,白虎图腾,
solar-deity totem,太阳神图腾,
Four Spirits,四灵,
Azure Dragon,青龙,
White Tiger,白虎,
Vermilion Bird,朱雀,
Black Tortoise,玄武,
cross,十字纹,
swastika,万字纹,
broken-line patterns,折线纹,
bats,蝙蝠纹,
fu,福,
gourds,葫芦纹,
fu-lu,福禄,
dragons,龙纹,
"pine, bamboo, and plum",松竹梅,
Four Gentlemen,四君子,
plum,梅,
orchid,兰,
bamboo,竹,
chrysanthemum,菊,
half green glaze,半绿釉,
biscuit,素坯,
multimodal,多模态,
cultural-creative products,文创产品,
intangible cultural heritage,非物质文化遗产,
rural revitalization,乡村振兴,
cultural industry,文化产业,
Southwest China,中国西南地区,
ceramic products,陶瓷产品,
traditional patterns,传统图案,
modern visual design,现代视觉设计,
brand IP design,品牌IP设计,
Narrative processing,叙事加工,
consumer connections,消费者连接,
Digital storytelling,数字叙事,
social media short videos,社交媒体短视频,
Design methodology,设计方法论,
market strategy,市场策略,
Experience Economy,体验经济,
rural tourism,乡村旅游,
Creative transformation,创造性转化,
innovative development,创新性发展,
minority intangible cultural heritage,少数民族非物质文化遗产,
Whioce Publishing,Whioce Publishing,
hand modeling,手塑,
wheel throwing,轮制,
8th China Intangible Cultural Heritage Expo,第八届中国非物质文化遗产博览会,
Shijituo ware,石鸡坨陶器,
chicken-headed ewers,鸡首壶,
dragon-headed pots,龙首壶,
toad cups,蟾蜍杯,
bagua trigrams,八卦,
bat,蝙蝠,
gray-black,灰黑,
earth-red,土红,
partial green glaze,局部绿釉,
IP,知识产权,
Tutaowa,土陶娃,
Tujia white-tiger motif,土家族白虎纹,
earthenware silhouette,陶器轮廓,
clay brown,陶土棕,
bluish green,蓝绿色,
simplification– abstraction–recomposition,简化-抽象-重组,
Original Artifact – Symbol Extraction – Visual Translation,原始器物-符号提取-视觉转化,
"broad-shouldered, globular-belly vessel",广肩圆腹器,
reverence for nature,敬畏自然,
craftsman spirit,工匠精神,
plain-living aesthetics,质朴美学,
ICH symbol studies,非遗符号研究,
IP design transformation,IP设计转化,
design translation,设计转化,
IP characters,IP角色,
identity marks,标识,
derivative development,衍生开发,
Symbolic Features,符号特征,
Design Implications,设计启示,
Stability,稳定性,
storage utility,储藏功能,
geometric silhouette,几何轮廓,
Motifs,纹样,
geometric patterns,几何图案,
Apotropaic,辟邪,
blessing,祝福,
auspiciousness,吉祥,
graphic motif,图形元素,
Color Palette,色彩调色板,
ban-qing,半青,
Plainness,质朴,
veneration of nature,崇敬自然,
