source,target,tgt_lng
Atmospheric Research,Atmospheric Research,
post-processing,后处理,
weather forecasts,天气预报,
machine learning,机器学习,
feature selection,特征选择,
Kazuma Iwase,Kazuma Iwase,
Tomoyuki Takenawa,Tomoyuki Takenawa,
"Graduate School of Marine Science and Technology, Tokyo University of Marine Science and Technology",东京海洋科技大学海洋科学与技术研究生院,
Japan,日本,
Weather prediction,天气预报,
Mesoscale Model,中尺度模型,
Japan Meteorological Agency,日本气象厅,
LightGBM,LightGBM,
RMSE,均方根误差,
CNN,CNN,
MSM Guidance,MSM导引,
Tweedie,Tweedie,
precipitation,降水,
temperature,温度,
wind speed,风速,
K. Iwase,K. Iwase,
T. Takenawa,T. Takenawa,
neural networks,神经网络,
Support Vector Machines,支持向量机,
Zhang and Ye,Zhang and Ye,
Liu et al.,Liu 等人,
Rojas-Campos et al.,Rojas-Campos 等人,
Yoshikane and Yoshimura,Yoshikane and Yoshimura,
Kudo,Kudo,
Peng et al.,Peng 等人,
Tang et al.,Tang 等人,
Kanto region,关东地区,
JMA,日本气象厅,
MSMG,MSMG,
Salazar et al.,Salazar 等人,
Xu et al.,Xu 等人,
NWP,数值天气预报,
Iwase and Takenawa,Iwase and Takenawa,
Tsipis et al.,Tsipis 等人,
XGBoost,XGBoost,
Shwartz-Ziv and Armon,Shwartz-Ziv and Armon,
Grinsztajn et al.,Grinsztajn 等人,
Hieta and Partio,Hieta and Partio,
MSM data,MSM数据,
"Research Institute for Sustainable Humanosphere, Kyoto University",京都大学可持续人类圈研究所,
RISH,RISH,
Japan Meteorological Business Support Center,日本气象业务支援中心,
JMBSC,JMBSC,
Numerical weather prediction (NWP),数值天气预报,
weather forecasting,天气预报,
atmospheric states,大气状态,
mathematical models,数学模型,
observation data,观测数据,
physical processes,物理过程,
model initialization,模式初始化,
assimilation,同化,
ensemble modeling,集合建模,
"Bauer et al., 2015",Bauer等，2015,
forecast errors,预报误差,
biases,偏差,
forecast variance,预报方差,
post-processing techniques,后处理技术,
machine learning models,机器学习模型,
"Liu et al., 2023",Liu等，2023,
"Rojas-Campos et al., 2023",Rojas-Campos等，2023,
"Yoshikane and Yoshimura, 2022",Yoshikane和Yoshimura，2022,
"Zhang and Ye, 2021",Zhang和Ye，2021,
"Kudo, 2022",Kudo，2022,
"Peng et al., 2020",Peng等，2020,
"Tang et al., 2021",Tang等，2021,
"Salazar et al., 2022",Salazar等，2022,
"Xu et al., 2020",Xu等，2020,
Japan Meteorological Agency (JMA),日本气象厅,
MSM Guidance (MSMG),MSM指导产品,
Mesoscale Model (MSM),中尺度模式,
grid spacing,网格间距,
global models,全球模式,
"JMA, 2024",JMA，2024,
statistical methods,统计方法,
Kalman filter,卡尔曼滤波,
frequency bias correction,频率偏差修正,
systematic biases,系统性偏差,
machine learning-based post-processing models,基于机器学习的后处理模型,
meteorological variables,气象变量,
plains,平原,
mountainous regions,山地地区,
islands,岛屿,
grid points,格点,
correlation analysis,相关分析,
neural-network baselines,神经网络基线,
CNN baseline,CNN基线,
raw MSM forecasts,原始MSM预报,
JMA post-processing product,JMA后处理产品,
surrounding-grid information,周围网格信息,
correlation-based feature selection,基于相关的特征选择,
forecast lead times,预报时效,
Tweedie-based loss functions,基于Tweedie的损失函数,
event-weighted training strategies,事件加权训练策略,
event-oriented metrics,面向事件的指标,
rainfall thresholds,降雨阈值,
convolutional neural networks (CNNs),卷积神经网络,
Tweedie loss,Tweedie损失,
"Ke et al., 2017","Ke等, 2017",
"LightGBM Contributors, 2026","LightGBM贡献者, 2026",
precipitation loss function,降水损失函数,
sample-weighting scheme,样本加权方案,
input data configuration,输入数据配置,
tree-related LightGBM settings,树相关LightGBM设置,
around all tune model,around all tune模型,
weighted Tweedie loss,加权Tweedie损失,
hyperparameters,超参数,
Optuna,Optuna,
event-based evaluation score,基于事件的评估分数,
precipitation thresholds,降水阈值,
Tweedie variance power p,Tweedie方差幂p,
weight function,权重函数,
observation site,观测站点,
weighted Tweedie model,加权Tweedie模型,
monotone nondecreasing constraint,单调非递减约束,
precipitation intensity,降水强度,
event-based metrics,基于事件的指标,
Section 2.6.2,第2.6.2节,
TS values,TS值,
geometric mean,几何平均,
forecast Bias,预报偏差,
penalty coefficient,惩罚系数,
bias penalty,偏差惩罚,
numerical stability,数值稳定性,
objective function,目标函数,
detection skill,检测技能,
multiple thresholds,多阈值,
event frequency,事件频率,
MSM,MSM,
validation dataset,验证数据集,
test dataset,测试数据集,
neural network,神经网络,
surrounding grids,周围网格,
nearest grid,最近网格,
correlation analysis-based feature selection,基于相关分析的特征选择,
FS0,FS0,
FS1,FS1,
FS3,FS3,
Section 2.3,第2.3节,
output variable,输出变量,
Section 3.2,第3.2节,
Declaration of generative AI and AI-assisted technologies in the manuscript preparation process,手稿准备过程中生成式AI和AI辅助技术的声明,
Chat-GPT,Chat-GPT,
Declaration of competing interest,竞争利益声明,
Acknowledgments,致谢,
WISE Program for the Development of AI Professionals in the Marine Industry,海洋产业AI人才培养WISE项目,
Tokyo University of Marine Science and Technology,东京海洋大学,
Japan Society for the Promotion of Science,日本学术振兴会,
JSPS,JSPS,
Grant-in-Aid (C),科研费（C）,
Appendix A. Supplementary data,附录A. 补充数据,
Data availability,数据可用性,
Akiba,Akiba,
Sano,Sano,
Yanase,Yanase,
Ohta,Ohta,
Koyama,Koyama,
ACM SIGKDD International Conference on Knowledge Discovery & Data Mining,ACM SIGKDD知识发现与数据挖掘国际会议,
Bauer,Bauer,
Thorpe,Thorpe,
Brunet,Brunet,
Nature,《自然》,
Bedi,Bedi,
Toshniwal,Toshniwal,
Advances in Big Data and Cloud Computing,《大数据与云计算进展》,
Springer,施普林格,
Chandrashekar,Chandrashekar,
Sahin,Sahin,
Comput. Electr. Eng.,《计算机与电气工程》,
Dunn,Dunn,
Smyth,Smyth,
Stat. Comput.,《统计计算》,
Grinsztajn,Grinsztajn,
Oyallon,Oyallon,
Varoquaux,Varoquaux,
Adv. Neural Inf. Process. Syst.,《神经信息处理系统进展》,
selected locations,选定位置,
surface variables,地表变量,
pressure-level variables,气压层变量,
relative humidity,相对湿度,
lead time,提前时间,
spatial context,空间上下文,
cumulative precipitation,累积降水量,
hourly temperature,每小时温度,
training,训练,
validation,验证,
testing,测试,
model selection,模型选择,
hyperparameter tuning,超参数调整,
box plots,箱线图,
accumulated surface precipitation,累积地表降水量,
forecast outputs,预报输出,
UTC,UTC,
grid,网格,
longitude,经度,
latitude,纬度,
JMA observation stations,JMA观测站,
Kamikawa,Kamikawa,
Saitama,Saitama,
time-series comparison,时间序列比较,
accumulated precipitation,累积降水量,
around all tune,around all tune,
site-wise aggregated verification results,站点聚合验证结果,
threshold,阈值,
POD,POD,
Bias,偏差,
precipitation forecasting,降水预报,
event-oriented behavior,事件导向行为,
site-dependent adjustment,站点依赖调整,
LightGBM model,LightGBM模型,
post-processing models,后处理模型,
critical input information,关键输入信息,
features,特征,
prediction target,预测目标,
calendar variables,日历变量,
correlation threshold,相关阈值,
absolute correlation matrix,绝对相关矩阵,
left-to-right rule,从左到右规则,
validation data,验证数据,
Table 3,表3,
single-grid data,单网格数据,
correlation coefficient,相关系数,
FS2,FS2,
mutual information,互信息,
feature importance,特征重要性,
